st_gene_id	diffexp_log2fc_WT_48H-vs-MYC2_48H	diffexp_deseq2_pvalue_WT_48H-vs-MYC2_48H
TraesCS4B02G041500	-0.017481059	0.845435347
TraesCS4B02G127600	-0.088097862	0.142511989
TraesCS5B02G069400	-0.16689489	0.086661063
TraesCS6D02G171000	0.041933899	0.665941412
TraesCS4A02G386300	-2.267857614	0.254820116
TraesCS7B02G062200	-0.052754559	0.574304603
TraesCS5D02G070900	-0.008207858	0.945092909
TraesCS4B02G028800	-0.015562889	0.835730975
TraesCS2B02G518100	-0.250164949	0.835054343
TraesCS2D02G249800	2.394376102	0.419900662
TraesCS3B02G244600	-1.949468999	0.352986154
TraesCS3A02G114900	0.070385032	0.807434257
TraesCS2D02G173300	0.49129404	0.002705021
TraesCS1B02G234700	-0.536830532	0.003503207
TraesCS1D02G343400	-0.793811317	0.056094446
TraesCS2A02G011500	0.482110951	0.437865548
TraesCS4D02G069000	-0.392327913	9.39E-05
TraesCS2B02G507700	0.173430157	0.121698818
TraesCS2D02G116600	0.90572423	0.824340734
TraesCS5A02G519500	-1.919632497	0.543902086
TraesCS3D02G182700	-0.473209225	0.783344684
TraesCS6B02G099300	-0.186948416	0.098470918
TraesCS2A02G555300	-0.137280743	0.423008567
TraesCS2A02G253300	3.96582071	0.030687605
TraesCS2D02G532200	-0.939727342	0.722242096
TraesCS7D02G176000	0.448703015	0.693087475
TraesCS2A02G031600	-0.162831786	0.851066024
TraesCS5B02G084200	-0.201017952	0.443459656
TraesCS2D02G324100	-0.053770839	0.957306818
TraesCS2A02G209700	0.620964354	0.619678702
TraesCS4A02G249300	-0.084328453	0.439620068
TraesCS3B02G027300	0.90572423	0.824340734
TraesCS2D02G492000	NA	NA
TraesCS2B02G333300	0.116688515	0.464409732
TraesCS3A02G440700	0.142545785	0.905620211
TraesCS2A02G239100	-0.162227663	0.299902206
TraesCS3A02G316900	-0.053266284	0.97286665
TraesCS6D02G137100	-0.006946906	0.964437818
TraesCS6A02G266700	0.759702364	0.005337044
TraesCS6D02G268500	0.223761469	0.089178195
TraesCS5B02G351200	1.260524834	0.000764337
TraesCS3D02G378900	-0.977824065	0.725943182
TraesCS3B02G366300	0.184388942	0.447823871
TraesCSU02G039800	0.034438138	0.899961337
TraesCSU02G076100	-0.19258212	0.848110306
TraesCS3B02G248200	0.234481631	0.703229267
TraesCS2A02G115800	0.151156448	0.908911434
TraesCS6D02G204200	-0.141343862	0.151364036
TraesCS4D02G232000	0.90572423	0.824340734
TraesCS5B02G237700	0.048020983	0.735362133
TraesCS4D02G346100	-0.055761683	0.94326609
TraesCS3A02G416600	-2.269755797	0.25427483
TraesCS7A02G348500	NA	NA
TraesCS2D02G588600	-0.341568896	0.529354017
TraesCS6B02G396800	0.395105117	0.012253485
TraesCS5B02G127900	-0.275083343	0.561820475
TraesCS1D02G191900	-0.001468092	0.990680401
TraesCS5B02G433600	1.360222554	0.335651689
TraesCS2D02G377100	-0.630028833	0.603193003
TraesCS2D02G507500	-0.795221666	0.396297814
TraesCS3D02G125600	-0.545846245	0.565368135
TraesCS7D02G500300	0.034332027	0.936782385
TraesCS4D02G188500	-0.454079392	0.290715538
TraesCS1B02G190400	-0.056758359	0.514063685
TraesCS6B02G004600	1.247686229	0.044318099
TraesCS5B02G313700	0.24128668	0.142360425
TraesCS5D02G074000	0.016052506	0.927091868
TraesCS5B02G348300	0.462654294	0.300051765
TraesCS4B02G016500	-1.922191114	0.543041009
TraesCS4D02G238800	0.296167468	0.021410091
TraesCS2B02G531100	0.376013883	0.656965924
TraesCSU02G023500	-0.113205446	0.861264613
TraesCS1D02G242300	0.089657154	0.931194532
TraesCS6A02G362000	0.035076885	0.750850526
TraesCS7B02G279700	1.140861907	0.244289768
TraesCS6A02G266200	-0.03803771	0.987343162
TraesCS2A02G019700	1.525921045	0.12724691
TraesCS1A02G266500	0.312787086	0.121119692
TraesCS7B02G215300	0.90572423	0.824340734
TraesCS4D02G303100	NA	NA
TraesCS4D02G359300	-1.017829122	0.803021211
TraesCS6D02G236500	-0.643762376	0.680630044
TraesCSU02G055000	1.789983877	0.608457465
TraesCS7B02G008100	0.091194603	0.19527722
TraesCS4A02G381200	NA	NA
TraesCS6B02G130600	1.159445742	4.59E-12
TraesCS3A02G292400	-0.115559158	0.339265572
TraesCS5B02G373200	-0.211937583	0.238664396
TraesCS7A02G274200	NA	NA
TraesCS1B02G475100	-1.537010798	0.496558151
TraesCS6D02G393700	-0.570831514	0.302550878
TraesCS4D02G223500	-0.281800041	0.001304132
TraesCS1A02G287000	-0.819094391	0.114016937
TraesCS4D02G005000	-0.056044331	0.986231787
TraesCS4B02G330600	0.963928358	0.660547208
TraesCS1A02G184800	-0.494388701	0.340161088
TraesCS4D02G365700	-0.191204946	0.635725425
TraesCS3A02G265400	0.684022785	0.682628311
TraesCS4B02G305400	0.270523059	0.148741059
TraesCS4A02G038200	-0.02617384	0.783881668
TraesCS3D02G043900	-0.488099444	0.001896979
TraesCSU02G126900	0.070408072	0.368911891
TraesCS1B02G394900	0.04434693	0.945923977
TraesCS2B02G562200	-0.056044313	0.98621341
TraesCS3B02G110900	-0.054646986	0.688173682
TraesCS4D02G093100	0.189770631	0.747884888
TraesCS6D02G284400	0.139049508	0.139789368
TraesCS4A02G389600	0.531640612	0.199671294
TraesCS4B02G046900	-0.124121969	0.167908013
TraesCS7B02G260700	0.426784046	0.137856917
TraesCS3D02G179900	-1.017829122	0.803021211
TraesCS7D02G008600	-0.08717401	0.65918894
TraesCS3A02G039500	0.90572423	0.824340734
TraesCS7D02G316000	-0.032623693	0.706711472
TraesCS7A02G047600	0.538316724	0.788874717
TraesCS4A02G489800	0.467423811	0.001420126
TraesCS6B02G155900	-1.63330089	0.24516862
TraesCS3A02G531300	0.105105177	0.278458913
TraesCS3B02G326600	0.269510496	0.051554697
TraesCS6D02G332300	0.07592868	0.856411808
TraesCS2A02G298800	0.065770368	0.55980332
TraesCS1B02G264400	0.271712995	0.081097446
TraesCS4D02G298300	-0.213110301	0.708658617
TraesCS6A02G230500	-0.019355738	0.869095317
TraesCS1A02G210200	0.054227601	0.497059336
TraesCS6D02G129900	0.354117272	0.008974686
TraesCS1A02G033100	-0.013243363	0.93746069
TraesCS4D02G229700	0.056968759	0.515686652
TraesCS3D02G255400	-0.317669638	0.687610276
TraesCS2A02G500200	0.053482904	0.615755376
TraesCS4B02G125700	0.43073552	0.045767154
TraesCS2B02G366000	-0.046637144	0.809515974
TraesCS6B02G144700	0.59245043	0.024526482
TraesCS6A02G368300	2.380390741	0.387373264
TraesCS7B02G471600	0.008868572	0.887215166
TraesCS3B02G006800	0.578455687	2.17E-06
TraesCS5A02G109100	-0.056004311	0.941630206
TraesCS6D02G309300	-0.180174669	0.788837273
TraesCS5D02G415700	0.07247199	0.49880819
TraesCS6A02G269400	-0.07231671	0.541551625
TraesCSU02G198700	-0.941931459	0.394092479
TraesCS5B02G391700	-0.047222242	0.615300295
TraesCS5B02G321700	0.164403376	0.455256625
TraesCS3D02G523000	-0.056044324	0.986224416
TraesCS6A02G320400	0.672004914	0.683127113
TraesCS4B02G163000	1.805640527	0.603498034
TraesCS7D02G225100	0.067313337	0.512638753
TraesCS1A02G051300	-0.036613807	0.895251485
TraesCS1D02G406700	2.424315487	0.202479231
TraesCS5A02G315200	1.597440181	0.097574154
TraesCS7A02G269400	-0.343845049	0.001806604
TraesCS1D02G287700	-0.173498029	0.438176425
TraesCS5B02G041200	0.081891436	0.806531699
TraesCS6D02G378700	-0.190739422	0.436423433
TraesCS3D02G326900	-0.169240761	0.17403723
TraesCS1A02G068400	0.176467447	0.343259438
TraesCS1D02G387500	-0.053421103	0.955240158
TraesCS5A02G123000	-0.072212903	0.589271543
TraesCS4B02G036900	-0.242480742	0.271635449
TraesCS6B02G191100	-0.110554461	0.645519142
TraesCS3A02G138000	0.155688751	0.588979181
TraesCS2B02G087400	0.364814831	0.21897209
TraesCS5D02G140600	0.404606469	0.075421018
TraesCS2A02G243400	-0.440633769	0.006644061
TraesCS4D02G112800	-0.564058101	1.24E-08
TraesCS4B02G226500	0.90572423	0.824340734
TraesCS5B02G492300	-1.19521103	0.007887276
TraesCS1A02G109100	0.344705727	0.847247221
TraesCS3D02G496300	0.275896727	0.303362398
TraesCSU02G028300	0.260047787	0.35713285
TraesCS4D02G178700	-0.050214339	0.588016063
TraesCS4A02G212900	-0.654167993	0.05760801
TraesCS7A02G399300	-1.94296282	0.567405036
TraesCS5A02G535100	1.457762793	0.036314457
TraesCS2D02G506100	NA	NA
TraesCS7D02G249500	-0.216880388	0.395848836
TraesCS5D02G315700	-0.11791681	0.767540686
TraesCS3B02G513600	-1.922191114	0.543041009
TraesCS1D02G053300	-0.089763604	0.663884647
TraesCS3D02G089700	0.90572423	0.824340734
TraesCS4D02G337600	-0.249093003	0.578725592
TraesCS5A02G482000	-0.194142757	0.718222561
TraesCS4A02G309500	-0.148874082	0.640355171
TraesCS6A02G162500	0.035048368	0.850335347
TraesCS6A02G082900	0.174579746	0.217072899
TraesCS7B02G202500	1.16321521	0.431891442
TraesCS5D02G417500	0.001890655	0.98808914
TraesCS2D02G564500	-1.89642402	0.582490248
TraesCS4D02G134200	-0.093101045	0.729336345
TraesCS1B02G187300	0.457315624	0.55869244
TraesCS6D02G292800	0.51786219	0.80416922
TraesCS5D02G084100	-0.936593645	0.240356148
TraesCS1D02G022000	-1.922191114	0.543041009
TraesCS3D02G523300	-0.066070213	0.333190933
TraesCS2D02G026500	0.519909614	0.737702982
TraesCS7B02G367800	-3.230294574	0.129240494
TraesCS1B02G221600	0.241225348	0.561031497
TraesCS5D02G159100	0.384470328	0.566194775
TraesCS3B02G468500	-0.756483091	0.014468477
TraesCS4B02G084100	0.844770014	0.749796241
TraesCS2A02G399300	0.475544962	0.402303551
TraesCS1B02G183400	0.90572423	0.824340734
TraesCS7B02G314500	0.074332375	0.224091216
TraesCS2A02G564400	-0.854680587	1.82E-05
TraesCS3B02G534200	NA	NA
TraesCS6D02G034800	NA	NA
TraesCS5B02G569100	0.527052344	0.659940582
TraesCS7D02G352300	0.66779585	0.053496901
TraesCS4B02G015200	0.236501024	0.742156361
TraesCS6B02G393600	-0.092024754	0.305420185
TraesCS5D02G116400	0.013005679	0.917053606
TraesCS5A02G018000	-0.21302843	0.00849501
TraesCS4B02G204100	1.930943659	0.154706048
TraesCS1D02G172600	0.061515019	0.605656924
TraesCS1A02G055900	0.90572423	0.824340734
TraesCS5D02G416700	-0.109933972	0.209569895
TraesCS6A02G338900	1.275622585	0.499248485
TraesCS1A02G169300	-0.233057835	0.294126469
TraesCS7B02G277300	-0.120292421	0.349112576
TraesCS6B02G350900	0.207137445	0.114561469
TraesCS2D02G185600	-0.050713412	0.94331239
TraesCS4D02G060600	NA	NA
TraesCS3A02G281100	-1.017829122	0.803021211
TraesCS3B02G434600	-0.381938958	0.811306351
TraesCS5B02G109300	0.062006674	0.896034564
TraesCS5B02G521000	-1.017829122	0.803021211
TraesCS3D02G480200	0.90572423	0.824340734
TraesCS7D02G477900	-0.195169833	0.445667437
TraesCS2B02G388600	NA	NA
TraesCS5D02G121700	1.789983877	0.608457465
TraesCS3A02G166400	1.255485743	0.33629263
TraesCS7D02G410900	-0.048110809	0.98320718
TraesCS4D02G091600	-0.366696535	0.196734287
TraesCS1A02G015700	NA	NA
TraesCS7D02G533500	NA	NA
TraesCS5D02G318100	-0.252431643	0.83084349
TraesCS2B02G306200	0.41066719	0.132170105
TraesCS3D02G197700	-0.032372701	0.77855318
TraesCS2A02G030600	0.563659847	0.353468637
TraesCS6B02G082600	-0.706370655	0.520350558
TraesCS3D02G129900	0.231051719	0.001515227
TraesCS5B02G217100	2.401809997	0.104989165
TraesCS6D02G249600	0.059709995	0.673332312
TraesCS5B02G132300	-0.331700149	0.605641296
TraesCS4A02G079200	-0.172432917	0.369662214
TraesCS3D02G353700	0.867728787	0.086403063
TraesCS7A02G388800	0.184281788	0.574794379
TraesCS4B02G154900	-0.797741299	8.11E-23
TraesCS2A02G106900	-1.429931194	0.050119847
TraesCS4D02G184700	0.074187557	0.750409136
TraesCS5B02G054600	-0.404934583	0.023040414
TraesCS3B02G366000	-1.901832202	0.580698398
TraesCS7B02G156100	-0.168220086	0.285991953
TraesCS7A02G514900	-0.180420436	0.174259476
TraesCS2B02G358900	0.69281525	0.671621075
TraesCS2B02G152100	0.388454605	0.66808474
TraesCS2A02G446800	0.063612156	0.905866644
TraesCS3D02G237800	-0.396752523	0.032481788
TraesCS7B02G168000	-0.040843624	0.676936158
TraesCS6A02G154900	NA	NA
TraesCS6B02G422400	NA	NA
TraesCS2A02G183000	-0.073126825	0.709429499
TraesCS4A02G058700	0.619633867	4.32E-06
TraesCS1D02G118100	-0.070182037	0.822767731
TraesCS4A02G157600	-0.088292037	0.295251311
TraesCS3B02G363300	-0.069900575	0.461214083
TraesCS1D02G451500	-0.246249233	0.622042787
TraesCS5A02G318700	-0.139052941	0.439381643
TraesCS5A02G536100	-0.157209451	0.350433516
TraesCS2A02G486700	0.838245591	0.751026219
TraesCS2D02G030800	0.095959742	0.6979188
TraesCS2D02G107500	0.746530307	0.051765318
TraesCS5A02G261700	0.003010325	0.991009375
TraesCS3B02G469000	-0.153441169	0.026565047
TraesCS6D02G262600	-0.052213938	0.725309867
TraesCS1B02G180600	-0.95929839	0.715487209
TraesCS2A02G524900	-0.649730212	0.765413698
TraesCS7B02G348500	-0.60458389	0.0873846
TraesCS1A02G194200	0.780319005	0.2885325
TraesCS3D02G485400	-0.101208138	0.165213636
TraesCS2B02G544200	0.063657232	0.402059156
TraesCS1B02G182400	-0.344519515	0.000268035
TraesCS7D02G362000	-1.94296282	0.567405036
TraesCS5B02G216000	0.90572423	0.824340734
TraesCS3A02G289300	-0.113675269	0.173850423
TraesCS3D02G296100	0.083994655	0.619428121
TraesCS5A02G162100	0.109234716	0.348989454
TraesCS5B02G213600	-1.166790005	0.281438248
TraesCSU02G151939	-1.392819226	0.456697818
TraesCS1D02G068800	1.077138007	0.060152685
TraesCS2D02G521200	0.944577399	0.54715003
TraesCS3D02G184300	-0.038349591	0.769565253
TraesCS5B02G105300	0.050160329	0.78469571
TraesCS3A02G147900	-0.397629525	7.43E-07
TraesCS4D02G144900	-0.175443132	0.042644825
TraesCS2D02G567000	0.354540242	0.782330419
TraesCS1B02G371900	1.397429438	0.002091018
TraesCS3D02G502400	0.117962145	0.490074021
TraesCS1D02G310300	-0.073605148	0.404429945
TraesCS1D02G316300	0.836683054	0.752516178
TraesCS2D02G161900	-0.20753331	0.006669179
TraesCS7D02G137200	0.376247231	7.31E-05
TraesCS5B02G135500	0.030489021	0.94784534
TraesCS1A02G319600	-0.134417197	0.414587314
TraesCS5B02G342500	0.041059423	0.87172125
TraesCS5A02G438100	-0.459547942	0.008096326
TraesCS5B02G102000	0.027493508	0.67797977
TraesCS2A02G209000	-0.095821994	0.604864773
TraesCS1D02G258900	-0.003752645	0.97917644
TraesCS3A02G443900	0.90572423	0.824340734
TraesCS3B02G135400	-0.255541754	0.000159506
TraesCS7D02G356300	0.247078112	0.779691696
TraesCS1A02G265800	0.782221117	0.219627129
TraesCS3B02G096100	NA	NA
TraesCS5A02G395800	1.805640527	0.603498034
TraesCS6A02G125000	0.737040928	0.019491687
TraesCS3D02G382400	0.229504359	0.399665083
TraesCS4D02G085200	NA	NA
TraesCS7B02G241300	-0.003417286	0.990174237
TraesCS7D02G159000	0.286119193	0.000368282
TraesCS1A02G185800	-0.056044331	0.986231787
TraesCS5D02G054600	0.21241953	0.882043931
TraesCS4B02G282100	-0.05532537	0.864964972
TraesCS4A02G414400	0.781692356	0.094164978
TraesCS4A02G297400	-1.94296282	0.567405036
TraesCS5D02G269400	0.29738244	0.794328447
TraesCS2B02G213600	-0.063166707	0.453196047
TraesCS2B02G557700	-0.334208767	0.407116139
TraesCS1D02G387100	0.589443	0.181362399
TraesCS6B02G288300	NA	NA
TraesCS5D02G566000	0.111800219	0.745627098
TraesCS1B02G454600	0.589338879	0.000713966
TraesCS2D02G378200	0.004843765	0.965193427
TraesCS3A02G523600	-0.262218444	0.461263825
TraesCS4A02G365100	0.90572423	0.824340734
TraesCS7D02G363100	1.430515492	0.548543201
TraesCS3B02G486300	NA	NA
TraesCS7D02G299900	-0.190612652	0.136673057
TraesCS3A02G012900	0.489215045	0.087353623
TraesCS5D02G190600	-0.133972226	0.145108523
TraesCS2A02G304800	0.095992046	0.754955822
TraesCS6B02G468500	-0.059042908	0.860052317
TraesCS5A02G047300	-0.264936247	0.00381179
TraesCS2B02G001000	1.424863169	0.53093624
TraesCS6D02G169100	-1.957447274	0.370735205
TraesCS2D02G348800	0.16097392	0.143591519
TraesCS4B02G103600	0.843903864	0.398283305
TraesCS1D02G446500	-0.115665117	0.408919105
TraesCS6B02G257400	0.028649823	0.830399063
TraesCS2B02G268300	0.037957605	0.93570684
TraesCS5B02G095900	0.093560239	0.624311337
TraesCS6A02G357900	NA	NA
TraesCS4B02G274400	0.542327921	0.101803485
TraesCS5A02G332000	-0.759962484	0.051738071
TraesCS3A02G156200	0.20070942	0.079645462
TraesCS2A02G046800	0.354188443	0.167382364
TraesCS3B02G273600	0.014090508	0.973781549
TraesCS4B02G010000	-0.06166629	0.877284581
TraesCS2D02G279500	0.079204442	0.464691253
TraesCS3B02G318600	0.043529953	0.610171174
TraesCS5A02G187000	0.053566651	0.603151871
TraesCS7A02G487400	0.355498284	0.617596688
TraesCS7A02G527600	-0.045637668	0.698359456
TraesCS2A02G482000	-0.071396695	0.970239049
TraesCS5B02G502000	0.065515071	0.614241752
TraesCS2B02G518600	-0.077803424	0.578818553
TraesCS3D02G347400	0.90572423	0.824340734
TraesCS5B02G427600	0.294339351	0.169534397
TraesCS2B02G346000	0.469180691	0.248286894
TraesCS2B02G446600	-1.017829122	0.803021211
TraesCS2D02G420500	0.878031752	0.064164678
TraesCS1A02G102200	1.842481902	0.407461658
TraesCSU02G140100	-1.017829122	0.803021211
TraesCS7A02G372200	-0.142125037	0.052618189
TraesCS5D02G364900	-0.0434811	0.617552648
TraesCS1B02G288200	-0.755738432	0.0849455
TraesCS2B02G557400	0.90572423	0.824340734
TraesCS4D02G027700	0.257045834	0.872474129
TraesCS3A02G516900	0.225298859	0.01611893
TraesCS7A02G338300	-0.193604476	0.341692243
TraesCS6D02G184700	-0.104415622	0.807058742
TraesCS5D02G238600	-0.008701398	0.97665895
TraesCS5A02G360300	-0.39175191	0.537831427
TraesCS7A02G564600	-0.054774306	0.97627626
TraesCS5D02G198300	-0.396462391	0.274165715
TraesCS4B02G303700	NA	NA
TraesCS7B02G419700	NA	NA
TraesCS5A02G469600	-0.059595325	0.975202814
TraesCS6B02G307300	-0.163884273	0.379017086
TraesCS7B02G111000	-0.744595838	0.560721164
TraesCS6A02G384300	0.628809549	5.22E-05
TraesCS2B02G482800	-0.776856274	4.29E-06
TraesCS1A02G095800	0.465692619	0.000160292
TraesCS2A02G119900	0.843387266	0.763609369
TraesCS7B02G280400	0.028303139	0.678967616
TraesCS5B02G095000	-0.339095181	0.242710016
TraesCS1D02G121200	0.186123765	0.009797871
TraesCS5B02G191700	0.424789671	0.746451435
TraesCS2B02G411500	0.932114597	0.496070846
TraesCS6A02G366500	-1.017829122	0.803021211
TraesCS5D02G030000	0.93900863	0.031923115
TraesCS6B02G023600	-1.017829122	0.803021211
TraesCS3D02G022000	-0.008080115	0.924495558
TraesCS5A02G266500	-0.055186589	0.907471737
TraesCS1D02G085500	0.683928197	0.437868187
TraesCS1B02G447300	NA	NA
TraesCS2A02G425500	-0.150752079	0.175094125
TraesCS6D02G283400	-0.617837062	0.333820173
TraesCS1A02G051100	0.112840042	0.785052077
TraesCS1D02G335900	0.168757634	0.294048636
TraesCS6D02G149700	0.131498017	0.500929438
TraesCS4A02G025300	0.191342781	0.719747483
TraesCS5D02G178300	-0.046638779	0.672261728
TraesCS3B02G034100	0.90572423	0.824340734
TraesCS5B02G450400	-0.164118592	0.060671055
TraesCS3D02G030600	0.428499573	0.017903585
TraesCS5A02G355900	-1.071752158	0.449101923
TraesCS7B02G240200	-0.04063783	0.674117249
TraesCS5D02G307000	0.606881588	1.89E-07
TraesCS3D02G336800	0.000320597	0.997224884
TraesCS3D02G031100	0.452271588	0.090926791
TraesCS2B02G518300	0.168852324	0.728522942
TraesCS5A02G076900	0.1861328	0.109647566
TraesCS7B02G176600	0.006909248	0.939585653
TraesCS3D02G192800	0.049896581	0.623208075
TraesCS2B02G022700	-0.059938199	0.740428826
TraesCSU02G206100	NA	NA
TraesCS3B02G024100	0.142629666	0.455559171
TraesCS3B02G448500	-0.108234613	0.807692116
TraesCS6A02G406300	-0.370357478	0.161526712
TraesCS2D02G359800	0.199992825	0.293338421
TraesCS6D02G362800	1.809345921	0.602321014
TraesCS2A02G197300	-0.131799865	0.343753071
TraesCS2B02G231500	0.64201251	0.27005377
TraesCS2A02G350100	0.004052418	0.993158052
TraesCS5B02G270500	3.967946283	0.027618317
TraesCS1D02G381800	0.355188725	0.465569868
TraesCS7B02G078800	NA	NA
TraesCS1B02G355900	0.361679056	0.833986845
TraesCS4A02G485400	0.055944393	0.78547245
TraesCS2B02G087700	NA	NA
TraesCS2B02G138400	0.227712725	0.642794087
TraesCS2A02G147500	0.114919857	0.14158288
TraesCSU02G118500	-0.058998929	0.943657896
TraesCS1A02G205400	0.070543555	0.680006888
TraesCS5D02G533500	0.472311985	0.0356917
TraesCS4D02G213500	-0.061985514	0.63732301
TraesCS2A02G143500	0.369587373	0.070593819
TraesCS5B02G170600	2.80349133	0.228159863
TraesCS5A02G552200	1.044427441	0.023368064
TraesCS2A02G533100	-0.320184426	0.359640166
TraesCS6D02G023100	NA	NA
TraesCS1D02G242100	-0.033285484	0.917094719
TraesCS4D02G099600	-0.651384554	0.499535641
TraesCS1D02G257000	0.90572423	0.824340734
TraesCS4D02G244300	-0.166602119	0.333568223
TraesCS6D02G356500	-0.484717266	0.254630835
TraesCS6A02G229800	0.042882592	0.72598918
TraesCS3D02G086600	-0.149615181	0.465205609
TraesCS5A02G486400	0.090199343	0.475140854
TraesCS6A02G417800	0.543051617	0.795077786
TraesCS5A02G138100	0.026441344	0.889071263
TraesCS1D02G411500	-0.375637989	0.728529377
TraesCS1B02G159500	-0.246506335	0.296322966
TraesCS1B02G276000	-0.076069888	0.571116548
TraesCS6A02G010400	0.90572423	0.824340734
TraesCS2A02G306400	-0.087375845	0.338684319
TraesCS7D02G187000	-2.551453753	0.197265486
TraesCS5B02G170700	-0.101891767	0.514456367
TraesCS2B02G133000	-0.138990141	0.695479635
TraesCS7B02G145100	-0.409736869	0.097110686
TraesCS3D02G223500	0.115986381	0.687051015
TraesCS1B02G204700	0.069211928	0.713864413
TraesCS7D02G269100	0.024056564	0.965254019
TraesCS5A02G386500	0.125783543	0.300140057
TraesCS3A02G022900	-0.407637507	0.426699367
TraesCS2B02G456300	-0.025110839	0.901470205
TraesCS4D02G183700	-0.108245251	0.169696398
TraesCS6D02G183200	0.0351349	0.622135066
TraesCS2D02G208100	0.198694074	0.813502495
TraesCS3B02G446300	NA	NA
TraesCS1B02G089000	0.465753246	0.082983447
TraesCS6A02G158200	-0.113471493	0.19372075
TraesCS7B02G094500	0.15170993	0.132061502
TraesCS3B02G155900	0.816484337	0.006424615
TraesCS5D02G158400	-0.107235963	0.708748733
TraesCS6A02G277800	-1.950568888	0.37723847
TraesCS5B02G563400	0.145361527	0.274887365
TraesCS7A02G356639	0.290169951	0.449292817
TraesCS7A02G031700	-1.017829122	0.803021211
TraesCS7B02G420500	0.151910407	0.8587066
TraesCS4A02G437800	-1.017829122	0.803021211
TraesCS2D02G383100	-0.075357546	0.781973982
TraesCS5D02G478300	0.90572423	0.824340734
TraesCS4A02G243300	NA	NA
TraesCS2D02G251100	0.070646925	0.799324502
TraesCS3A02G125900	-1.052599937	0.592153814
TraesCS3B02G045500	0.313266154	0.398855959
TraesCS6B02G169300	-0.096371189	0.216366024
TraesCS3D02G451800	0.112635977	0.548961707
TraesCS6D02G119600	-0.056044233	0.98613567
TraesCS6A02G147800	-0.177809624	0.298816173
TraesCS5A02G152300	-0.47870825	0.175170532
TraesCS4B02G072400	NA	NA
TraesCS7D02G524900	NA	NA
TraesCS6D02G210500	1.318493266	0.267182368
TraesCS2B02G218900	-0.121722491	0.309857258
TraesCS5B02G312800	NA	NA
TraesCS2D02G483000	1.529280074	0.259643723
TraesCS5A02G053600	0.395556614	0.119465544
TraesCS2D02G029500	1.081366005	0.130847512
TraesCS1A02G156200	0.90572423	0.824340734
TraesCS1A02G225800	NA	NA
TraesCS7B02G182600	0.026026612	0.746312194
TraesCS2A02G533400	1.524201718	0.172145273
TraesCS2A02G473000	0.028697427	0.70550209
TraesCS2D02G367400	-0.476540075	0.062235432
TraesCS2B02G010500	2.006808674	1.98E-06
TraesCS5B02G330600	-0.086789498	0.287743093
TraesCS6A02G220100	0.100173108	0.510609152
TraesCS1D02G329300	0.039623513	0.603785019
TraesCS4A02G414800	NA	NA
TraesCS2A02G003900	-0.031102741	0.779072167
TraesCS7D02G285000	-0.148476248	0.074327572
TraesCS2B02G213300	1.537508546	0.391325865
TraesCS1B02G154500	NA	NA
TraesCS1D02G408300	-0.531614167	0.119115835
TraesCS7D02G370300	-0.00730064	0.937522514
TraesCS4A02G056700	-0.467451381	0.08099335
TraesCS5D02G266100	-0.345515036	0.633801067
TraesCSU02G067400	-0.082553658	0.485175259
TraesCS6B02G142200	-0.056044226	0.986128429
TraesCS6B02G454800	-0.056687139	0.739273358
TraesCS3B02G239300	-0.084670099	0.474096496
TraesCS4D02G293900	0.90572423	0.824340734
TraesCS5A02G418000	0.018905467	0.943576585
TraesCSU02G150100	0.350347059	0.838880272
TraesCS3D02G206700	0.021834993	0.849768093
TraesCS3D02G342600	-0.05604432	0.986220765
TraesCS7A02G010100	-1.017829122	0.803021211
TraesCS2A02G084900	0.144094463	0.578428401
TraesCS7B02G480500	3.605354569	0.064372844
TraesCS7D02G133300	NA	NA
TraesCS1B02G036700	1.269873623	0.326832168
TraesCS5B02G437600	NA	NA
TraesCS7B02G038400	0.749989378	0.08397682
TraesCS5B02G334600	-0.251819145	0.680513559
TraesCS5B02G549400	-1.535451737	0.517842272
TraesCS4B02G284700	0.90572423	0.824340734
TraesCS1A02G215800	0.027369105	0.856483282
TraesCS3D02G041700	0.673194332	0.682549416
TraesCS3D02G251100	-0.117913137	0.8662109
TraesCS3D02G261100	0.669592465	0.111439315
TraesCS6B02G363700	NA	NA
TraesCS7A02G063700	-0.302123898	0.002007236
TraesCS6B02G335700	NA	NA
TraesCS3D02G270200	-0.384914275	0.802882662
TraesCS5D02G435500	1.159973567	0.442632363
TraesCS2B02G337300	0.424211633	0.255128942
TraesCS2D02G298800	-0.433422462	0.049435054
TraesCS1A02G067600	-0.411860031	0.659876005
TraesCS2D02G270100	-0.533056799	0.519995164
TraesCS7A02G180500	0.360258243	0.433343937
TraesCS1D02G022900	0.093948539	0.492300352
TraesCS6B02G171100	-2.483684239	0.361994931
TraesCS4D02G267800	-0.112664564	0.110533208
TraesCSU02G087700	0.82832362	0.198603245
TraesCS4A02G375400	0.078438063	0.86109256
TraesCS3B02G333700	-0.283834101	0.234413095
TraesCS5A02G450400	-0.056044331	0.986231787
TraesCS6A02G234500	0.308258746	0.17992106
TraesCS1D02G307200	-0.139994346	0.472702963
TraesCS2B02G055300	-1.919632497	0.543902086
TraesCS3D02G106500	-0.060237001	0.754451202
TraesCS1D02G247100	-0.240792136	0.546982023
TraesCS1B02G367100	-0.129350664	0.094720727
TraesCS7A02G213700	-0.176163805	0.643617855
TraesCS2A02G282300	0.19748277	0.513160212
TraesCS5A02G387400	0.90572423	0.824340734
